,SCHOOL DISTRICT,COUNTY,AVG SCORE,Rating
0,Jericho,Nassau,1292,Top Notch
1,Manhasset,Nassau,1259,Top Notch
2,Roslyn,Nassau,1216,Top Notch
3,Syosset,Nassau,1213,Top Notch
4,Great Neck,Nassau,1212,Top Notch
5,East Williston,Nassau,1191,Top Notch
6,Herricks,Nassau,1191,Top Notch
7,Garden City,Nassau,1178,Top Notch
8,Plainview-Old Bethpage,Nassau,1176,Top Notch
9,Port Washington,Nassau,1175,Top Notch
10,Hewlett-Woodmere,Nassau,1168,Top Notch
11,North Shore,Nassau,1146,Great
12,Lynbrook,Nassau,1143,Great
13,Rockville Centre,Nassau,1140,Great
14,Locust Valley,Nassau,1137,Great
15,Oyster Bay-East Norwich,Nassau,1132,Great
16,Massapequa,Nassau,1128,Great
17,Wantagh,Nassau,1124,Great
18,Bethpage,Nassau,1123,Great
19,Carle Place,Nassau,1121,Great
20,Bellmore-Merrick,Nassau,1116,Great
21,Island Trees,Nassau,1105,Great
22,Seaford,Nassau,1096,Great
23,East Meadow,Nassau,1094,Great
24,Mineola,Nassau,1088,Great
25,Levittown,Nassau,1087,Great
26,Plainedge,Nassau,1079,Great
27,Oceanside,Nassau,1076,Great
28,Farmingdale,Nassau,1071,Great
29,Hicksville,Nassau,1068,Great
30,Sewanhaka,Nassau,1063,Great
31,Valley Stream,Nassau,1057,Great
32,East Rockaway,Nassau,1056,Great
33,Long Beach,Nassau,1051,
34,Baldwin,Nassau,1050,Good
35,Glen Cove,Nassau,1011,Good
36,Lawrence,Nassau,997,Good
37,Malverne,Nassau,994,Good
38,Freeport,Nassau,969,Good
39,Uniondale,Nassau,955,Good
40,Westbury,Nassau,947,Fair
41,Hempstead,Nassau,901,Fair
42,Roosevelt,Nassau,886,Fair
