,id,city,zipCode,list_price,baths
0,4320632096,East Hampton,11937,3995000,7
1,3978840061,Port Jefferson Station,11776,499990,2
2,4528089672,Westhampton,11977,2699000,4
3,4560478667,Port Jefferson,11777,975000,5
4,4622503716,East Islip,11730,400000,2
5,4355382664,Dix Hills,11746,2475000,4
6,9942955464,Huntington,11743,1200000,4
7,4068836272,East Hampton,11937,18995000,8
8,3533730752,Commack,11725,667000,3
9,3647622809,Brentwood,11717,639000,2
10,4124648059,East Hampton,11937,3495000,5
11,3522803057,East Hampton,11937,2595000,4
12,9200255023,Water Mill,11976,19950000,12
13,4154571724,East Hampton,11937,3695000,6
14,4072798171,Ridge,11961,399000,2
15,4697368030,Greenport,11944,875000,2
16,3542840089,Mattituck,11952,1095000,3
17,4068836272,East Hampton,11937,18995000,8
18,3651483610,East Hampton,11937,4495000,6
19,9135534016,Sagaponack,11962,27500000,17
20,4320632096,East Hampton,11937,3995000,7
21,3978840061,Port Jefferson Station,11776,499990,2
22,4528089672,Westhampton,11977,2699000,4
23,4560478667,Port Jefferson,11777,975000,5
24,4622503716,East Islip,11730,400000,2
25,4355382664,Dix Hills,11746,2475000,4
26,9942955464,Huntington,11743,1200000,4
27,4068836272,East Hampton,11937,18995000,8
28,3533730752,Commack,11725,667000,3
29,3647622809,Brentwood,11717,639000,2
30,4124648059,East Hampton,11937,3495000,5
31,3522803057,East Hampton,11937,2595000,4
32,9200255023,Water Mill,11976,19950000,12
33,4154571724,East Hampton,11937,3695000,6
34,4072798171,Ridge,11961,399000,2
35,4697368030,Greenport,11944,875000,2
36,3542840089,Mattituck,11952,1095000,3
37,4068836272,East Hampton,11937,18995000,8
38,3651483610,East Hampton,11937,4495000,6
39,9135534016,Sagaponack,11962,27500000,17
40,4320632096,East Hampton,11937,3995000,7
41,3978840061,Port Jefferson Station,11776,499990,2
42,4528089672,Westhampton,11977,2699000,4
43,4560478667,Port Jefferson,11777,975000,5
44,4622503716,East Islip,11730,400000,2
45,4355382664,Dix Hills,11746,2475000,4
46,9942955464,Huntington,11743,1200000,4
47,4068836272,East Hampton,11937,18995000,8
48,3533730752,Commack,11725,667000,3
49,3647622809,Brentwood,11717,639000,2
50,4124648059,East Hampton,11937,3495000,5
51,3522803057,East Hampton,11937,2595000,4
52,9200255023,Water Mill,11976,19950000,12
53,4154571724,East Hampton,11937,3695000,6
54,4072798171,Ridge,11961,399000,2
55,4697368030,Greenport,11944,875000,2
56,3542840089,Mattituck,11952,1095000,3
57,4068836272,East Hampton,11937,18995000,8
58,3651483610,East Hampton,11937,4495000,6
59,9135534016,Sagaponack,11962,27500000,17
60,4320632096,East Hampton,11937,3995000,7
61,3978840061,Port Jefferson Station,11776,499990,2
62,4528089672,Westhampton,11977,2699000,4
63,4560478667,Port Jefferson,11777,975000,5
64,4622503716,East Islip,11730,400000,2
65,4355382664,Dix Hills,11746,2475000,4
66,9942955464,Huntington,11743,1200000,4
67,4068836272,East Hampton,11937,18995000,8
68,3533730752,Commack,11725,667000,3
69,3647622809,Brentwood,11717,639000,2
70,4124648059,East Hampton,11937,3495000,5
71,3522803057,East Hampton,11937,2595000,4
72,9200255023,Water Mill,11976,19950000,12
73,4154571724,East Hampton,11937,3695000,6
74,4072798171,Ridge,11961,399000,2
75,4697368030,Greenport,11944,875000,2
76,3542840089,Mattituck,11952,1095000,3
77,4068836272,East Hampton,11937,18995000,8
78,3651483610,East Hampton,11937,4495000,6
79,9135534016,Sagaponack,11962,27500000,17
80,4320632096,East Hampton,11937,3995000,7
81,3978840061,Port Jefferson Station,11776,499990,2
82,4528089672,Westhampton,11977,2699000,4
83,4560478667,Port Jefferson,11777,975000,5
84,4622503716,East Islip,11730,400000,2
85,4355382664,Dix Hills,11746,2475000,4
86,9942955464,Huntington,11743,1200000,4
87,4068836272,East Hampton,11937,18995000,8
88,3533730752,Commack,11725,667000,3
89,3647622809,Brentwood,11717,639000,2
90,4124648059,East Hampton,11937,3495000,5
91,3522803057,East Hampton,11937,2595000,4
92,9200255023,Water Mill,11976,19950000,12
93,4154571724,East Hampton,11937,3695000,6
94,4072798171,Ridge,11961,399000,2
95,4697368030,Greenport,11944,875000,2
96,3542840089,Mattituck,11952,1095000,3
97,4068836272,East Hampton,11937,18995000,8
98,3651483610,East Hampton,11937,4495000,6
99,9135534016,Sagaponack,11962,27500000,17
100,4320632096,East Hampton,11937,3995000,7
101,3978840061,Port Jefferson Station,11776,499990,2
102,4528089672,Westhampton,11977,2699000,4
103,4560478667,Port Jefferson,11777,975000,5
104,4622503716,East Islip,11730,400000,2
105,4355382664,Dix Hills,11746,2475000,4
106,9942955464,Huntington,11743,1200000,4
107,4068836272,East Hampton,11937,18995000,8
108,3533730752,Commack,11725,667000,3
109,3647622809,Brentwood,11717,639000,2
110,4124648059,East Hampton,11937,3495000,5
111,3522803057,East Hampton,11937,2595000,4
112,9200255023,Water Mill,11976,19950000,12
113,4154571724,East Hampton,11937,3695000,6
114,4072798171,Ridge,11961,399000,2
115,4697368030,Greenport,11944,875000,2
116,3542840089,Mattituck,11952,1095000,3
117,4068836272,East Hampton,11937,18995000,8
118,3651483610,East Hampton,11937,4495000,6
119,9135534016,Sagaponack,11962,27500000,17
120,4320632096,East Hampton,11937,3995000,7
121,3978840061,Port Jefferson Station,11776,499990,2
122,4528089672,Westhampton,11977,2699000,4
123,4560478667,Port Jefferson,11777,975000,5
124,4622503716,East Islip,11730,400000,2
125,4355382664,Dix Hills,11746,2475000,4
126,9942955464,Huntington,11743,1200000,4
127,4068836272,East Hampton,11937,18995000,8
128,3533730752,Commack,11725,667000,3
129,3647622809,Brentwood,11717,639000,2
130,4124648059,East Hampton,11937,3495000,5
131,3522803057,East Hampton,11937,2595000,4
132,9200255023,Water Mill,11976,19950000,12
133,4154571724,East Hampton,11937,3695000,6
134,4072798171,Ridge,11961,399000,2
135,4697368030,Greenport,11944,875000,2
136,3542840089,Mattituck,11952,1095000,3
137,4068836272,East Hampton,11937,18995000,8
138,3651483610,East Hampton,11937,4495000,6
139,9135534016,Sagaponack,11962,27500000,17
140,4320632096,East Hampton,11937,3995000,7
141,3978840061,Port Jefferson Station,11776,499990,2
142,4528089672,Westhampton,11977,2699000,4
143,4560478667,Port Jefferson,11777,975000,5
144,4622503716,East Islip,11730,400000,2
145,4355382664,Dix Hills,11746,2475000,4
146,9942955464,Huntington,11743,1200000,4
